央视,#genre#
CCTV5,http://61.52.27.196:808/hls/5/index.m3u8
CCTV5+,http://111.161.141.169:4022/udp/225.1.1.121:5002
CCTV5+,http://113.206.119.251:8001/udp/225.0.4.73:7980
CCTV5+,http://113.206.119.251:8002/udp/225.0.4.73:7980
CCTV5+,http://113.206.119.251:8005/udp/225.0.4.73:7980
CCTV5+,http://115.153.77.143:6002/udp/239.252.219.72:5140
CCTV5+,http://120.7.86.91:808/hls/16/index.m3u8
CCTV5+,http://121.24.98.44:8090/hls/5/index.m3u8
CCTV5+,http://123.101.98.21:2000/rtp/239.16.10.3:2000
CCTV5+,http://123.101.98.21:2000/rtp/239.16.20.5:10050
CCTV5+,http://123.101.98.21:2001/rtp/239.16.10.3:2000
CCTV5+,http://123.101.98.21:2001/rtp/239.16.20.5:10050
CCTV5+,http://27.10.214.203:8010/udp/225.0.4.73:7980
CCTV5+,http://27.10.77.87:8010/udp/225.0.4.73:7980
CCTV5+,http://58.63.64.214:8888/udp/239.77.0.87:5146
CCTV5+,http://58.63.64.214:8888/udp/239.77.1.31:5146
CCTV5+,http://60.220.167.63:8082/rtp/226.0.2.168:9256
CCTV6,http://110.7.130.97:8096/tsfile/live/0006_1.m3u8
CCTV6,http://111.161.141.169:4022/udp/225.1.1.195:5002
CCTV6,http://113.206.119.251:8001/udp/225.0.4.144:7980
CCTV6,http://113.206.119.251:8002/udp/225.0.4.144:7980
CCTV6,http://113.206.119.251:8005/udp/225.0.4.144:7980
CCTV6,http://115.153.77.143:6002/udp/239.252.219.237:5140
CCTV6,http://115.153.77.143:6002/udp/239.252.220.195:5140
CCTV6,http://121.24.98.44:8090/hls/14/index.m3u8
CCTV6,http://123.101.98.21:2000/rtp/239.16.10.101:2000
CCTV6,http://123.101.98.21:2000/rtp/239.16.20.6:10060
CCTV6,http://123.101.98.21:2001/rtp/239.16.10.101:2000
CCTV6,http://123.101.98.21:2001/rtp/239.16.20.6:10060
CCTV6,http://182.122.73.39:8089/hls/6/index.m3u8
CCTV6,http://27.10.214.203:8010/udp/225.0.4.144:7980
CCTV6,http://27.10.77.87:8010/udp/225.0.4.144:7980
CCTV6,http://58.63.64.214:8888/udp/239.77.0.171:5146
CCTV6,http://58.63.64.214:8888/udp/239.77.0.178:5146
CCTV6,http://60.220.167.63:8082/rtp/226.0.2.210:9592
CCTV6,http://61.52.27.196:808/hls/6/index.m3u8
CCTV7,http://111.161.141.169:4022/udp/225.1.1.138:5002
CCTV7,http://113.206.119.251:8001/udp/225.0.4.127:7980
CCTV7,http://113.206.119.251:8002/udp/225.0.4.127:7980
CCTV7,http://113.206.119.251:8005/udp/225.0.4.127:7980
CCTV7,http://115.153.77.143:6002/udp/239.252.220.185:5140
CCTV7,http://123.101.98.21:2000/rtp/239.16.10.130:2000
CCTV7,http://123.101.98.21:2000/rtp/239.16.20.51:10510
CCTV7,http://123.101.98.21:2001/rtp/239.16.10.130:2000
CCTV7,http://123.101.98.21:2001/rtp/239.16.20.51:10510
CCTV7,http://27.10.214.203:8010/udp/225.0.4.127:7980
CCTV7,http://27.10.77.87:8010/udp/225.0.4.127:7980
CCTV7,http://58.63.64.214:8888/udp/239.77.0.138:5146
CCTV7,http://58.63.64.214:8888/udp/239.77.1.159:5146
CCTV7,http://58.63.64.214:8888/udp/239.77.1.167:5146
CCTV7,http://60.220.167.63:8082/rtp/226.0.2.159:9184
CCTV7,http://60.223.90.51:8002/rtp/226.0.2.159:9184
CCTV8,http://111.161.141.169:4022/udp/225.1.1.196:5002
CCTV8,http://113.206.119.251:8001/udp/225.0.4.137:7980
CCTV8,http://113.206.119.251:8002/udp/225.0.4.137:7980
CCTV8,http://113.206.119.251:8005/udp/225.0.4.137:7980
CCTV8,http://115.153.77.143:6002/udp/239.252.219.253:5140
CCTV8,http://115.153.77.143:6002/udp/239.252.220.196:5140
CCTV8,http://121.24.98.44:8090/hls/16/index.m3u8
CCTV8,http://123.101.98.21:2000/rtp/239.16.10.102:2000
CCTV8,http://123.101.98.21:2000/rtp/239.16.20.8:10080
CCTV8,http://123.101.98.21:2001/rtp/239.16.10.102:2000
CCTV8,http://123.101.98.21:2001/rtp/239.16.20.8:10080
CCTV8,http://182.122.73.39:8089/hls/8/index.m3u8
CCTV8,http://27.10.214.203:8010/udp/225.0.4.137:7980
CCTV8,http://27.10.77.87:8010/udp/225.0.4.137:7980
CCTV8,http://58.63.64.214:8888/udp/239.77.0.172:5146
CCTV8,http://58.63.64.214:8888/udp/239.77.0.181:5146
CCTV8,http://60.220.167.63:8082/rtp/226.0.2.211:9600
CCTV8,http://61.52.27.196:808/hls/8/index.m3u8
CCTV9,http://110.7.130.97:8096/tsfile/live/0009_1.m3u8
CCTV9,http://111.161.141.169:4022/udp/225.1.1.119:5002
CCTV9,http://113.206.119.251:8001/udp/225.0.4.131:7980
CCTV9,http://113.206.119.251:8002/udp/225.0.4.131:7980
CCTV9,http://113.206.119.251:8005/udp/225.0.4.131:7980
CCTV9,http://115.153.77.143:6002/udp/239.252.220.186:5140
CCTV9,http://121.24.98.44:8090/hls/17/index.m3u8
CCTV9,http://123.101.98.21:2000/rtp/239.16.10.103:2000
CCTV9,http://123.101.98.21:2000/rtp/239.16.20.9:10090
CCTV9,http://123.101.98.21:2001/rtp/239.16.10.103:2000
CCTV9,http://123.101.98.21:2001/rtp/239.16.20.9:10090
CCTV9,http://182.122.73.39:8089/hls/9/index.m3u8
CCTV9,http://27.10.214.203:8010/udp/225.0.4.131:7980
CCTV9,http://27.10.77.87:8010/udp/225.0.4.131:7980
CCTV9,http://58.63.64.214:8888/udp/239.77.0.135:5146
CCTV9,http://58.63.64.214:8888/udp/239.77.1.160:5146
CCTV9,http://58.63.64.214:8888/udp/239.77.1.168:5146
CCTV9,http://60.220.167.63:8082/rtp/226.0.2.161:9200
CCTV9,http://61.52.27.196:808/hls/9/index.m3u8
CCTV10,http://111.161.141.169:4022/udp/225.1.1.140:5002
CCTV10,http://113.206.119.251:8001/udp/225.0.4.130:7980
CCTV10,http://113.206.119.251:8002/udp/225.0.4.130:7980
CCTV10,http://113.206.119.251:8005/udp/225.0.4.130:7980
CCTV10,http://115.153.77.143:6002/udp/239.252.220.91:5140
CCTV10,http://121.24.98.44:8090/hls/18/index.m3u8
CCTV10,http://123.101.98.21:2000/rtp/239.16.10.108:2000
CCTV10,http://123.101.98.21:2000/rtp/239.16.20.10:10100
CCTV10,http://123.101.98.21:2001/rtp/239.16.10.108:2000
CCTV10,http://123.101.98.21:2001/rtp/239.16.20.10:10100
CCTV10,http://182.122.73.39:8089/hls/10/index.m3u8
CCTV10,http://27.10.214.203:8010/udp/225.0.4.130:7980
CCTV10,http://27.10.77.87:8010/udp/225.0.4.130:7980
CCTV10,http://58.63.64.214:8888/udp/239.77.0.134:5146
CCTV10,http://58.63.64.214:8888/udp/239.77.1.113:5146
CCTV10,http://58.63.64.214:8888/udp/239.77.1.169:5146
CCTV10,http://60.220.167.63:8082/rtp/226.0.2.162:9208
CCTV11,http://111.161.141.169:4022/udp/225.1.2.192:5002
CCTV11,http://113.206.119.251:8001/udp/225.0.4.218:7980
CCTV11,http://113.206.119.251:8002/udp/225.0.4.218:7980
CCTV11,http://113.206.119.251:8005/udp/225.0.4.218:7980
CCTV11,http://115.153.77.143:6002/udp/239.252.219.78:5140
CCTV11,http://121.24.98.44:8090/hls/19/index.m3u8
CCTV11,http://123.101.98.21:2000/rtp/239.16.10.109:2000
CCTV11,http://123.101.98.21:2000/rtp/239.16.20.11:10110
CCTV11,http://123.101.98.21:2001/rtp/239.16.10.109:2000
CCTV11,http://123.101.98.21:2001/rtp/239.16.20.11:10110
CCTV11,http://27.10.214.203:8010/udp/225.0.4.218:7980
CCTV11,http://27.10.77.87:8010/udp/225.0.4.218:7980
CCTV11,http://27.10.77.87:8010/udp/225.0.4.218:7980
CCTV11,http://58.63.64.214:8888/udp/239.77.1.238:5146
CCTV12,http://111.161.141.169:4022/udp/225.1.1.142:5002
CCTV12,http://113.206.119.251:8001/udp/225.0.4.129:7980
CCTV12,http://113.206.119.251:8002/udp/225.0.4.129:7980
CCTV12,http://113.206.119.251:8005/udp/225.0.4.129:7980
CCTV12,http://115.153.77.143:6002/udp/239.252.220.187:5140
CCTV12,http://121.24.98.44:8090/hls/20/index.m3u8
CCTV12,http://123.101.98.21:2000/rtp/239.16.10.110:2000
CCTV12,http://123.101.98.21:2000/rtp/239.16.20.12:10120
CCTV12,http://123.101.98.21:2001/rtp/239.16.10.110:2000
CCTV12,http://123.101.98.21:2001/rtp/239.16.20.12:10120
CCTV12,http://182.122.73.39:8089/hls/12/index.m3u8
